Ortschaftsname;PLZ4;Zusatzziffer;ZIP_ID;Gemeindename;BFS-Nr;Kantonskürzel;Adressenanteil;E;N;Sprache;Validity
Lausanne 25;1000;25;125;Lausanne;5586;VD;100 %;6.6821962943030275;46.55955289596799;fr;2008-07-01
Lausanne 26;1000;26;126;Lausanne;5586;VD;100 %;6.6959324311008706;46.55456986340046;fr;2008-07-01
Lausanne 27;1000;27;127;Lausanne;5586;VD;100 %;6.681736656357112;46.542097581525205;fr;2008-07-01
Lausanne;1003;00;150;Lausanne;5586;VD;100 %;6.6318898054882505;46.52057741591484;fr;2008-07-01
Lausanne;1004;00;151;Lausanne;5586;VD;100 %;6.618649236897379;46.52829108998057;fr;2008-07-01
Lausanne;1005;00;152;Lausanne;5586;VD;100 %;6.642767210311616;46.520888147719276;fr;2008-07-01
Lausanne;1006;00;153;Lausanne;5586;VD;100 %;6.633763900119709;46.51287209508421;fr;2008-07-01
Lausanne;1007;00;154;Lausanne;5586;VD;100 %;6.613581005858942;46.517908836223825;fr;2008-07-01
Prilly;1008;00;156;Prilly;5589;VD;100 %;6.604520190234414;46.53673439859677;fr;2008-07-01
Jouxtens-Mézery;1008;02;5852;Jouxtens-Mézery;5585;VD;100 %;6.595168883379037;46.54953871377771;fr;2008-07-01
Pully;1009;00;157;Pully;5590;VD;100 %;6.660768155244472;46.51251174876547;fr;2008-07-01
Lausanne;1010;00;158;Lausanne;5586;VD;100 %;6.652418212716733;46.53742721167361;fr;2008-07-01
Lausanne;1011;00;159;Lausanne;5586;VD;100 %;6.64395153843156;46.525430465313775;fr;2008-07-01
Lausanne;1012;00;160;Lausanne;5586;VD;100 %;6.654702129673688;46.526467838252046;fr;2008-07-01
Lausanne;1015;00;163;Ecublens (VD);5635;VD;84.138 %;6.56669125545918;46.519618240446924;fr;2008-07-01
Lausanne;1015;00;163;Saint-Sulpice (VD);5648;VD;8.276 %;6.584587844328571;46.519403529867574;fr;2008-07-01
Lausanne;1015;00;163;Chavannes-près-Renens;5627;VD;7.586 %;6.58431074292634;46.52291893205492;fr;2008-07-01
Lausanne;1018;00;164;Lausanne;5586;VD;100 %;6.629496052003132;46.535098026732285;fr;2008-07-01
Renens VD;1020;00;165;Renens (VD);5591;VD;100 %;6.589432084021981;46.537890947170645;fr;2008-07-01
Chavannes-près-Renens;1022;00;168;Chavannes-près-Renens;5627;VD;100 %;6.575252591297912;46.531909477890046;fr;2008-07-01
Crissier;1023;00;169;Crissier;5583;VD;99.15 %;6.577555613225668;46.55344572883954;fr;2008-07-01
Crissier;1023;00;169;Lausanne;5586;VD;0.85 %;6.589569651957258;46.55900585995713;fr;2008-07-01
Ecublens VD;1024;00;170;Ecublens (VD);5635;VD;100 %;6.559879163881748;46.524999363805435;fr;2008-07-01
St-Sulpice VD;1025;00;171;Saint-Sulpice (VD);5648;VD;100 %;6.562448672223655;46.51282043804615;fr;2008-07-01
Denges;1026;02;5854;Denges;5632;VD;100 %;6.539646169845311;46.520594654982794;fr;2008-07-01
Echandens;1026;03;6230;Echandens;5633;VD;100 %;6.541925573919938;46.53560033992512;fr;2008-07-01
Lonay;1027;00;174;Lonay;5638;VD;100 %;6.519084335310371;46.5265203063583;fr;2008-07-01
Préverenges;1028;00;175;Préverenges;5643;VD;100 %;6.5287901177136645;46.51594703782082;fr;2008-07-01
Villars-Ste-Croix;1029;00;5616;Villars-Sainte-Croix;5651;VD;100 %;6.5635605949606655;46.567300723909995;fr;2008-07-01
Bussigny;1030;00;178;Bussigny;5624;VD;100 %;6.555089565518322;46.55169876815259;fr;2014-05-01
Mex VD;1031;00;5614;Mex (VD);5489;VD;98.529 %;6.561135058562692;46.57689887894324;fr;2008-07-01
Mex VD;1031;00;5614;Vufflens-la-Ville;5503;VD;1.471 %;6.550752943803952;46.56563596919536;fr;2008-07-01
Romanel-sur-Lausanne;1032;00;179;Romanel-sur-Lausanne;5592;VD;80.876 %;6.603880819664837;46.562935328374714;fr;2008-07-01
Romanel-sur-Lausanne;1032;00;179;Lausanne;5586;VD;19.124 %;6.611271626222046;46.57085094617055;fr;2008-07-01
Cheseaux-sur-Lausanne;1033;00;180;Cheseaux-sur-Lausanne;5582;VD;92.498 %;6.605139257998019;46.585344820550894;fr;2008-07-01
Cheseaux-sur-Lausanne;1033;00;180;Lausanne;5586;VD;6.65 %;6.60865548007358;46.57899235237496;fr;2008-07-01
Cheseaux-sur-Lausanne;1033;00;180;Crissier;5583;VD;0.853 %;6.586711130737487;46.573216292106444;fr;2008-07-01
Boussens;1034;00;205;Boussens;5473;VD;100 %;6.5843969226204555;46.60323688745292;fr;2008-07-01
Bournens;1035;00;206;Bournens;5472;VD;100 %;6.562784216504844;46.603917981990314;fr;2008-07-01
Sullens;1036;00;207;Sullens;5501;VD;100 %;6.566563743978684;46.592153141995034;fr;2008-07-01
Etagnières;1037;00;182;Etagnières;5521;VD;100 %;6.613076138773061;46.60046219456636;fr;2008-07-01
Bercher;1038;00;183;Bercher;5512;VD;99.015 %;6.70823336015071;46.69122593581566;fr;2008-07-01
Bercher;1038;00;183;Montanaire;5693;VD;0.657 %;6.718069777955311;46.695723612645175;fr;2008-07-01
Bercher;1038;00;183;Boulens;5661;VD;0.328 %;6.717694742573653;46.6954153778425;fr;2008-07-01
Echallens;1040;00;185;Echallens;5518;VD;100 %;6.634816216188277;46.641037197895926;fr;2008-07-01
Villars-le-Terroir;1040;02;194;Villars-le-Terroir;5537;VD;100 %;6.6390672480305515;46.65560469838925;fr;2008-07-01
St-Barthélemy VD;1040;03;191;Saint-Barthélemy (VD);5535;VD;100 %;6.601965326810482;46.63607728146013;fr;2008-07-01
Dommartin;1041;21;196;Montilliez;5540;VD;100 %;6.701324939786089;46.64864873010665;fr;2008-07-01
Montaubion-Chardonney;1041;22;5858;Jorat-Menthue;5804;VD;100 %;6.71204660616066;46.64597399807561;fr;2008-07-01
Naz;1041;26;5847;Montilliez;5540;VD;100 %;6.695550656202952;46.65815581661537;fr;2008-07-01
Poliez-le-Grand;1041;31;199;Montilliez;5540;VD;100 %;6.663933250703376;46.637173147798556;fr;2008-07-01
Poliez-Pittet;1041;32;200;Poliez-Pittet;5533;VD;100 %;6.683144598968404;46.62788367847137;fr;2008-07-01
Bottens;1041;33;201;Bottens;5514;VD;100 %;6.66072081255787;46.61631651184051;fr;2008-07-01
Assens;1042;00;208;Assens;5511;VD;100 %;6.62358413321573;46.61246681476119;fr;2008-07-01
Bioley-Orjulaz;1042;03;213;Assens;5511;VD;100 %;6.597417547461544;46.62034560057727;fr;2008-07-01
Bettens;1042;04;193;Bettens;5471;VD;100 %;6.576729816712537;46.62646087700506;fr;2008-07-01
Sugnens;1043;00;209;Montilliez;5540;VD;100 %;6.672146065921565;46.65570651358955;fr;2008-07-01
Fey;1044;00;210;Fey;5522;VD;100 %;6.682760226550759;46.674884923599485;fr;2008-07-01
Ogens;1045;00;211;Ogens;5680;VD;98.298 %;6.7240160811510625;46.71070322142858;fr;2008-07-01
Ogens;1045;00;211;Bioley-Magnoux;5903;VD;1.702 %;6.730947350856542;46.719670393634;fr;2008-07-01
Rueyres;1046;00;624;Rueyres;5534;VD;100 %;6.694547165193202;46.693943983079244;fr;2008-07-01
Oppens;1047;00;5883;Oppens;5923;VD;100 %;6.693901238862546;46.71418949412431;fr;2008-07-01
Le Mont-sur-Lausanne;1052;00;214;Le Mont-sur-Lausanne;5587;VD;100 %;6.634508692763994;46.55390844280172;fr;2008-07-01
Cugy VD;1053;00;215;Cugy (VD);5516;VD;89.594 %;6.6415808111457615;46.584553860534335;fr;2008-07-01
Cugy VD;1053;00;215;Lausanne;5586;VD;10.406 %;6.658595803346203;46.591724868711104;fr;2008-07-01
Bretigny-sur-Morrens;1053;02;202;Bretigny-sur-Morrens;5515;VD;100 %;6.64216353595557;46.59635174277575;fr;2008-07-01
Morrens VD;1054;00;216;Morrens (VD);5527;VD;100 %;6.627380392367454;46.59093047234465;fr;2008-07-01
Froideville;1055;00;217;Froideville;5523;VD;100 %;6.681678833246961;46.60112891106894;fr;2008-07-01
Villars-Tiercelin;1058;00;233;Jorat-Menthue;5804;VD;100 %;6.705484225760009;46.62616781683719;fr;2008-07-01
Peney-le-Jorat;1059;00;234;Jorat-Menthue;5804;VD;97.727 %;6.728857357267462;46.632127548502396;fr;2008-07-01
Peney-le-Jorat;1059;00;234;Hermenches;5673;VD;2.273 %;6.7410011576661;46.63928250118014;fr;2008-07-01
Villars-Mendraz;1061;00;235;Jorat-Menthue;5804;VD;100 %;6.72877512336154;46.646313570454474;fr;2008-07-01
Sottens;1062;00;236;Jorat-Menthue;5804;VD;100 %;6.741914296036963;46.65554365876065;fr;2008-07-01
Chapelle-sur-Moudon;1063;00;237;Montanaire;5693;VD;100 %;6.736257676013647;46.66955141957608;fr;2008-07-01
Martherenges;1063;02;5857;Montanaire;5693;VD;100 %;6.753407418605504;46.66098402971616;fr;2008-07-01
Boulens;1063;03;198;Boulens;5661;VD;100 %;6.719843444148141;46.68135942856684;fr;2008-07-01
Peyres-Possens;1063;04;197;Montanaire;5693;VD;96.296 %;6.707252357631969;46.66140723210443;fr;2008-07-01
Peyres-Possens;1063;04;197;Jorat-Menthue;5804;VD;3.704 %;6.7187368266823215;46.66048196572256;fr;2008-07-01
Epalinges;1066;00;221;Epalinges;5584;VD;100 %;6.667981670497247;46.54944471503879;fr;2008-07-01
Les Monts-de-Pully;1068;00;7007;Pully;5590;VD;100 %;6.690194330966034;46.53671109810398;fr;2008-07-01
Puidoux;1070;00;786;Puidoux;5607;VD;99.763 %;6.777123342862182;46.49800203578751;fr;2008-07-01
Puidoux;1070;00;786;Bourg-en-Lavaux;5613;VD;0.237 %;6.754742563582638;46.50425635687299;fr;2008-07-01
Chexbres;1071;00;788;Chexbres;5601;VD;99.445 %;6.778788037273422;46.4822148864813;fr;2008-07-01
Chexbres;1071;00;788;Rivaz;5609;VD;0.555 %;6.779045286265032;46.47927471437275;fr;2008-07-01
Rivaz;1071;01;1060;Rivaz;5609;VD;98.837 %;6.779163449499992;46.47599188678675;fr;2008-07-01
Rivaz;1071;01;1060;Puidoux;5607;VD;1.163 %;6.777288355317762;46.47492843460778;fr;2008-07-01
St-Saphorin (Lavaux);1071;02;1061;Saint-Saphorin (Lavaux);5610;VD;100 %;6.794487459643387;46.476169991056835;fr;2008-07-01
Forel (Lavaux);1072;00;789;Forel (Lavaux);5604;VD;100 %;6.763206022616499;46.535927794906314;fr;2008-07-01
Savigny;1073;00;222;Savigny;5611;VD;100 %;6.722707933790284;46.541508853469175;fr;2008-07-01
Mollie-Margot;1073;02;239;Savigny;5611;VD;100 %;6.746730010451172;46.555169776779714;fr;2008-07-01
Ferlens VD;1076;00;248;Jorat-Mézières;5806;VD;100 %;6.786196776340777;46.58810357558775;fr;2008-07-01
Servion;1077;00;249;Servion;5799;VD;100 %;6.781484911502583;46.57321520205721;fr;2008-07-01
Essertes;1078;00;250;Oron;5805;VD;100 %;6.786675187656863;46.561460514878846;fr;2008-07-01
Les Cullayes;1080;00;240;Servion;5799;VD;99.619 %;6.7542971512465515;46.57340541080434;fr;2008-07-01
Les Cullayes;1080;00;240;Forel (Lavaux);5604;VD;0.381 %;6.759800346343573;46.56524317260549;fr;2008-07-01
Montpreveyres;1081;00;241;Montpreveyres;5792;VD;100 %;6.738834508084694;46.58079576766312;fr;2008-07-01
Corcelles-le-Jorat;1082;00;242;Corcelles-le-Jorat;5785;VD;100 %;6.738880536403195;46.60643442528399;fr;2008-07-01
Mézières VD;1083;00;223;Jorat-Mézières;5806;VD;100 %;6.771253778237842;46.59464670753354;fr;2008-07-01
Carrouge VD;1084;00;244;Jorat-Mézières;5806;VD;99.825 %;6.773208382513575;46.60334819952594;fr;2008-07-01
Carrouge VD;1084;00;244;Vulliens;5803;VD;0.175 %;6.789654345415109;46.600060908436184;fr;2008-07-01
Vulliens;1085;00;245;Vulliens;5803;VD;99.701 %;6.7928861669676195;46.622281101968255;fr;2008-07-01
Vulliens;1085;00;245;Rue;2097;FR;0.299 %;6.8046555807904605;46.644036327086965;fr;2008-07-01
Ropraz;1088;00;243;Ropraz;5798;VD;100 %;6.753497375946746;46.61175913164554;fr;2008-07-01
La Croix (Lutry);1090;00;783;Lutry;5606;VD;99.843 %;6.699473046022732;46.516917758140316;fr;2008-07-01
La Croix (Lutry);1090;00;783;Savigny;5611;VD;0.157 %;6.716122429779132;46.51823949770408;fr;2008-07-01
Grandvaux;1091;00;784;Bourg-en-Lavaux;5613;VD;99.37 %;6.720380518315979;46.4998517683418;fr;2008-07-01
Grandvaux;1091;00;784;Forel (Lavaux);5604;VD;0.63 %;6.739889420168393;46.513404648568766;fr;2008-07-01
Aran;1091;01;785;Bourg-en-Lavaux;5613;VD;99.329 %;6.71285621625115;46.503330282886196;fr;2008-07-01
Aran;1091;01;785;Savigny;5611;VD;0.671 %;6.720083108888324;46.518309638606134;fr;2008-07-01
Chenaux;1091;03;6194;Bourg-en-Lavaux;5613;VD;100 %;6.728808229480355;46.494957056229566;fr;2008-07-01
Belmont-sur-Lausanne;1092;00;224;Belmont-sur-Lausanne;5581;VD;99.75 %;6.681717966306878;46.5220273492163;fr;2008-07-01
Belmont-sur-Lausanne;1092;00;224;Lutry;5606;VD;0.25 %;6.692433217484396;46.5246801962021;fr;2008-07-01
La Conversion;1093;00;225;Lutry;5606;VD;100 %;6.685657964027408;46.51424502935704;fr;2008-07-01
Paudex;1094;00;226;Paudex;5588;VD;100 %;6.6730519294592945;46.50726068245579;fr;2008-07-01
Lutry;1095;00;227;Lutry;5606;VD;99.777 %;6.688016449787788;46.505804407338374;fr;2008-07-01
Lutry;1095;00;227;Bourg-en-Lavaux;5613;VD;0.167 %;6.706901822700388;46.50144783489919;fr;2008-07-01
Lutry;1095;00;227;Paudex;5588;VD;0.056 %;6.675585701147447;46.50867214389593;fr;2008-07-01
Cully;1096;00;228;Bourg-en-Lavaux;5613;VD;94.545 %;6.728165964336549;46.4893125540724;fr;2008-07-01
Cully;1096;00;228;Puidoux;5607;VD;5.455 %;6.75444189634131;46.48477830808047;fr;2008-07-01
Villette (Lavaux);1096;02;7949;Bourg-en-Lavaux;5613;VD;100 %;6.7090812148052095;46.49440901623422;fr;2008-07-01
Riex;1097;00;229;Bourg-en-Lavaux;5613;VD;100 %;6.737340148158341;46.494965175363674;fr;2008-07-01
Epesses;1098;00;230;Bourg-en-Lavaux;5613;VD;95.755 %;6.747239262460234;46.4919583574712;fr;2008-07-01
Epesses;1098;00;230;Puidoux;5607;VD;4.245 %;6.756753872710835;46.486303560678856;fr;2008-07-01
Morges;1110;00;254;Morges;5642;VD;100 %;6.495735162482383;46.51337408267629;fr;2008-07-01
Echichens;1112;00;259;Echichens;5634;VD;100 %;6.498257215563947;46.52795094694424;fr;2008-07-01
St-Saphorin-sur-Morges;1113;00;267;Echichens;5634;VD;100 %;6.489230446399372;46.546902859596706;fr;2008-07-01
Colombier VD;1114;00;268;Echichens;5634;VD;100 %;6.472982574686603;46.55646378627137;fr;2008-07-01
Vullierens;1115;00;269;Vullierens;5654;VD;100 %;6.4834100175464755;46.574481516360706;fr;2008-07-01
Cottens VD;1116;00;270;Hautemorges;5656;VD;100 %;6.454556150707667;46.57216603337012;fr;2008-07-01
Grancy;1117;00;271;Grancy;5485;VD;100 %;6.464457578606176;46.59168332896234;fr;2008-07-01
Bremblens;1121;00;273;Bremblens;5622;VD;100 %;6.517296343410796;46.54577569660884;fr;2008-07-01
Romanel-sur-Morges;1122;00;274;Romanel-sur-Morges;5645;VD;100 %;6.509539434709804;46.55557232743188;fr;2008-07-01
Aclens;1123;00;275;Aclens;5621;VD;100 %;6.51208784582675;46.567423170603135;fr;2008-07-01
Gollion;1124;00;276;Gollion;5484;VD;100 %;6.508556371635993;46.58464902719264;fr;2008-07-01
Monnaz;1125;00;263;Echichens;5634;VD;100 %;6.4801190566095865;46.52836595131962;fr;2008-07-01
Vaux-sur-Morges;1126;00;264;Vaux-sur-Morges;5650;VD;100 %;6.463746899073292;46.53563942551367;fr;2008-07-01
Clarmont;1127;00;265;Clarmont;5629;VD;100 %;6.449657590356859;46.546879866861765;fr;2008-07-01
Reverolle;1128;00;266;Hautemorges;5656;VD;100 %;6.438103518783912;46.541326849182234;fr;2008-07-01
Tolochenaz;1131;00;262;Tolochenaz;5649;VD;100 %;6.477076262818001;46.50304266904667;fr;2008-07-01
